is_weekend,start_station,end_station,hour,omega
0,4,29,18,2.8
0,4,29,19,1.4
0,4,29,20,1.4
0,4,29,21,2.8
0,4,29,22,1.4
0,4,29,23,1.4
0,4,30,9,1.4
0,4,30,12,1.4
0,4,30,16,1.4
0,4,30,17,1.4
0,4,30,18,1.4
0,4,30,21,1.4
0,4,31,19,2.8
0,4,31,23,1.4
0,4,33,16,1.4
0,4,33,18,1.4
0,4,34,10,1.4
0,4,34,12,1.4
0,4,34,13,2.8
0,4,34,16,1.4
0,4,34,17,2.8
0,4,34,18,1.4
0,4,34,20,1.4
0,4,34,21,1.4
0,4,34,23,1.4
0,4,35,7,1.4
0,4,35,10,1.4
0,4,35,11,2.8
0,4,35,14,2.8
0,4,35,16,1.4
0,4,35,17,1.4
0,4,35,18,2.8
0,4,35,23,1.4
0,4,36,12,2.8
0,4,36,13,1.4
0,4,36,16,1.4
0,4,36,17,1.4
0,4,37,0,1.4
0,4,37,7,2.8
0,4,37,8,5.6
0,4,37,11,1.4
0,4,37,12,1.4
0,4,37,13,4.199999999999999
0,4,37,15,7.0
0,4,37,16,8.399999999999999
0,4,37,17,8.399999999999999
0,4,37,18,7.0
0,4,37,19,2.8
0,4,37,20,2.8
0,4,37,22,5.6
0,4,37,23,5.6
0,4,38,11,2.8
0,4,38,13,1.4
0,4,38,21,1.4
0,4,38,23,1.4
0,4,39,15,1.4
0,4,39,16,5.6
0,4,39,21,1.4
0,4,40,12,1.4
0,4,40,18,1.4
0,4,40,19,2.8
0,4,40,21,1.4
0,4,40,23,1.4
0,4,41,11,2.8
0,4,41,13,1.4
0,4,41,14,1.4
0,4,41,15,2.8
0,4,41,16,2.8
0,4,41,17,1.4
0,4,41,18,2.8
0,4,41,19,2.8
0,4,41,22,2.8
0,4,41,23,1.4
0,4,42,1,1.4
0,4,42,9,1.4
0,4,42,12,4.199999999999999
0,4,42,15,1.4
0,4,42,16,2.8
0,4,42,17,2.8
0,4,42,18,1.4
0,4,42,20,1.4
0,4,42,21,4.199999999999999
0,4,42,23,1.4
0,4,43,23,1.4
0,4,44,0,2.8
0,4,44,7,1.4
0,4,44,8,1.4
0,4,44,12,1.4
0,4,44,14,1.4
0,4,44,16,5.6
0,4,44,17,2.8
0,4,44,19,1.4
0,4,44,20,1.4
0,4,44,21,1.4
0,4,44,22,1.4
0,4,44,23,1.4
0,4,45,11,2.8
0,4,45,12,1.4
0,4,45,15,1.4
0,4,45,16,1.4
0,4,45,19,1.4
0,4,45,20,1.4
0,4,45,21,4.199999999999999
0,4,45,22,2.8
0,4,46,7,2.8
0,4,46,11,2.8
0,4,46,14,1.4
0,4,46,16,1.4
