is_weekend,start_station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,22,1.4,2.8,4.199999999999999,2.8,4.199999999999999,1.4,1.4,1.4,1.4,2.8,2.8,1.4,2.8,2.8,2.8,2.8,2.8,8.399999999999999,2.8,4.199999999999999,2.8,2.8,2.8,4.199999999999999
0,23,9.799999999999999,8.399999999999999,4.199999999999999,2.8,4.199999999999999,7.0,1.4,5.6,8.399999999999999,11.2,9.799999999999999,12.6,15.399999999999999,12.6,15.399999999999999,16.799999999999997,14.0,14.0,15.399999999999999,12.6,8.399999999999999,12.6,15.399999999999999,9.799999999999999
0,24,19.599999999999998,4.199999999999999,1.4,2.8,1.4,1.4,2.8,2.8,5.6,5.6,4.199999999999999,7.0,9.799999999999999,11.2,19.599999999999998,15.399999999999999,11.2,8.399999999999999,7.0,7.0,8.399999999999999,4.199999999999999,5.6,5.6
0,25,7.0,5.6,8.399999999999999,4.199999999999999,4.199999999999999,2.8,4.199999999999999,7.0,8.399999999999999,7.0,8.399999999999999,12.6,14.0,12.6,9.799999999999999,14.0,14.0,22.4,14.0,9.799999999999999,11.2,14.0,11.2,9.799999999999999
0,26,5.6,4.199999999999999,5.6,2.8,1.4,2.8,2.8,4.199999999999999,5.6,5.6,14.0,9.799999999999999,9.799999999999999,12.6,16.799999999999997,16.799999999999997,16.799999999999997,15.399999999999999,14.0,9.799999999999999,11.2,8.399999999999999,9.799999999999999,5.6
0,27,11.2,14.0,7.0,7.0,7.0,4.199999999999999,8.399999999999999,11.2,19.599999999999998,16.799999999999997,14.0,18.2,19.599999999999998,21.0,19.599999999999998,16.799999999999997,22.4,26.599999999999998,22.4,19.599999999999998,16.799999999999997,18.2,16.799999999999997,12.6
0,28,5.6,2.8,2.8,2.8,1.4,1.4,2.8,2.8,5.6,4.199999999999999,4.199999999999999,2.8,4.199999999999999,7.0,5.6,5.6,4.199999999999999,5.6,5.6,5.6,5.6,5.6,5.6,4.199999999999999
0,29,11.2,7.0,5.6,9.799999999999999,5.6,11.2,4.199999999999999,4.199999999999999,9.799999999999999,7.0,8.399999999999999,9.799999999999999,11.2,8.399999999999999,12.6,8.399999999999999,15.399999999999999,18.2,22.4,15.399999999999999,14.0,22.4,18.2,21.0
0,30,11.2,12.6,7.0,15.399999999999999,7.0,4.199999999999999,4.199999999999999,4.199999999999999,8.399999999999999,8.399999999999999,8.399999999999999,9.799999999999999,11.2,12.6,11.2,14.0,15.399999999999999,22.4,16.799999999999997,16.799999999999997,19.599999999999998,15.399999999999999,15.399999999999999,14.0
0,31,8.399999999999999,4.199999999999999,4.199999999999999,4.199999999999999,2.8,0.0,5.6,8.399999999999999,5.6,5.6,7.0,5.6,11.2,9.799999999999999,11.2,9.799999999999999,11.2,9.799999999999999,12.6,8.399999999999999,7.0,11.2,11.2,9.799999999999999
0,32,4.199999999999999,4.199999999999999,2.8,1.4,0.0,1.4,1.4,1.4,4.199999999999999,2.8,1.4,2.8,4.199999999999999,2.8,2.8,2.8,2.8,8.399999999999999,4.199999999999999,2.8,4.199999999999999,2.8,4.199999999999999,7.0
0,33,2.8,5.6,1.4,1.4,1.4,1.4,1.4,2.8,5.6,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,5.6,5.6,5.6,11.2,8.399999999999999,9.799999999999999,8.399999999999999,7.0,7.0,5.6,5.6
