is_weekend,end_station,end_power_class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,15,low,1.4,1.4,1.4,0.0,2.8,1.4,2.8,1.4,1.6545454545454548,2.3333333333333335,1.5272727272727271,1.75,2.0,1.6333333333333333,1.6333333333333333,1.4,1.456,1.590909090909091,1.460869565217391,1.4466666666666668,1.6210526315789473,1.6099999999999999,1.5166666666666664,1.4777777777777776
0,16,high,1.4,1.4,1.4,1.4,0.0,0.0,2.0999999999999996,1.4,1.6210526315789473,1.6413793103448273,1.4874999999999998,1.568,1.5448275862068965,1.4388888888888887,1.4666666666666666,1.6210526315789473,1.68,1.4,1.6434782608695653,1.48,1.4666666666666666,1.4,1.4518518518518517,1.5555555555555556
0,16,inactive,0.0,0.0,0.0,1.4,0.0,0.0,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.7111111111111112,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.68,1.4
0,16,low,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.68,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
0,17,high,1.4,1.4,0.0,1.4,1.4,0.0,1.4,1.4,1.512,1.53125,1.5696969696969694,1.6413793103448273,1.694736842105263,1.512,1.575,1.4777777777777776,1.5826086956521737,1.664864864864865,1.48,1.5302325581395346,1.4636363636363634,1.4736842105263157,1.5647058823529412,1.6210526315789473
0,17,inactive,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.5037037037037038,1.575,1.4,1.5272727272727271,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
0,17,low,1.4,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.575,1.4736842105263157,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.575,1.4,2.0999999999999996,1.4,1.4,1.4,1.8666666666666665
0,18,high,1.4,1.4,0.0,1.4,0.0,1.4,1.4,1.4,1.533333333333333,1.4437499999999999,1.8666666666666665,1.4,1.4,1.5076923076923074,1.5076923076923074,1.4,1.5166666666666664,1.4,1.4,1.5076923076923074,1.4,1.4,1.4,1.4
0,18,inactive,1.4,1.4,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4999999999999998,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.8,1.4,1.4,1.4,1.4
0,18,low,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4
0,19,high,2.8933333333333335,5.04,4.199999999999999,1.4,2.8,1.4,2.8,4.199999999999999,4.351851851851851,4.289090909090909,4.463218390804598,4.515,4.433333333333333,4.585470085470085,4.668421052631579,4.633176470588235,4.365617715617715,4.698930481283422,4.984709193245779,5.2544866704481,4.443809523809524,4.407366771159873,4.768817204301074,4.766555183946489
0,19,inactive,5.6,2.8,2.8,1.4,1.4,0.0,0.0,2.8,2.8,4.199999999999999,4.375,4.55,4.199999999999999,4.4799999999999995,4.199999999999999,4.199999999999999,4.327272727272727,4.293333333333333,4.293333333333333,4.415384615384614,4.199999999999999,4.355555555555555,4.199999999999999,5.055555555555555
0,19,low,4.199999999999999,4.199999999999999,0.0,0.0,1.4,0.0,2.8,2.8,2.8,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.299999999999999,4.530555555555555,4.2875,4.199999999999999,4.791111111111111,4.199999999999999,4.4799999999999995,4.574999999999999
0,20,high,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.5999999999999999,1.4,1.4,1.4,1.4,1.6333333333333333,1.75,1.4,1.4,1.4,1.4
0,20,inactive,0.0,1.4,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,0.0,1.4,1.4,0.0,2.8,0.0
0,20,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0
0,21,high,4.782657342657342,4.36470588235294,4.355555555555555,2.8,4.55,2.8,4.375,4.700289413556741,5.505157545605306,5.0455406911928655,4.948777743350564,5.41959022286125,5.59929416902693,5.8382978723404255,5.503308746048472,5.976511319487541,5.86010716925351,5.948285351648222,5.457010785824344,5.516926377597109,4.949557242251739,4.832386363636363,4.859543010752687,5.607777777777779
0,21,inactive,4.4799999999999995,4.199999999999999,2.8,1.4,1.4,2.8,2.8,4.248275862068964,4.697418820649434,4.6890909090909085,4.394444444444444,4.5795555555555545,4.762752341997625,4.5438596491228065,4.765384615384614,4.687574671445639,4.86631455399061,5.0944103194103185,4.5986111111111105,4.571843251088534,4.487179487179487,5.031515151515151,4.494736842105262,4.55
